# 48x48.Magic Square of 6th Powers.
# Generated by Toshihiro Shirakawa in 2026.01.20
# S6=1027300659037323095480

2026,2157,287,2185,2092,569,552,488,1656,341,445,128,2295,863,444,586,1246,1544,1345,741,1206,1150,1227,757,659,1651,1650,978,1444,916,1386,1655,773,2205,868,325,1037,2122,1652,1284,915,1657,1654,2103,646,1653,161,1298,
1023,196,264,510,351,79,530,666,1732,628,2271,464,2166,539,845,1097,2134,1428,1737,1050,1375,1736,1191,1244,1117,1731,1892,1433,1207,752,1235,1987,242,2259,2128,431,612,305,1734,1307,1210,1733,1730,2100,893,1735,529,1240,
1914,2118,446,182,2119,396,200,2034,1612,579,2115,481,778,2276,501,2247,1469,637,1616,1006,1152,1609,672,1187,1418,1614,1480,1243,1517,889,650,1319,535,936,1025,2178,509,86,1611,930,788,1610,1613,1915,483,1615,515,1529,
1113,506,470,235,1973,2168,2287,97,1576,2195,415,273,653,2004,91,557,1524,1435,1571,800,1279,1575,844,942,2202,1570,1462,1118,1899,1885,1224,1569,732,192,988,873,626,379,1573,2200,1299,1572,1574,979,1911,1174,686,1112,
1379,852,383,678,479,513,147,436,1809,950,566,696,1076,1290,729,2302,1965,2058,1803,2102,961,1802,576,1519,1516,1806,1324,1891,1300,2044,986,1808,337,1391,141,926,1182,331,1805,1130,1941,1993,1804,1303,937,1807,307,2065,
2107,188,2183,257,2281,216,2211,187,1551,1970,221,260,156,706,148,505,1197,1408,1549,1081,350,1160,289,1902,1067,1547,1548,1124,1509,1158,1059,1546,703,721,270,749,606,184,1545,494,1143,1552,1550,2248,1997,994,2073,1908,
2125,568,143,370,240,2226,414,487,1769,354,614,625,502,2294,74,707,1364,1173,1766,1880,1534,1767,2220,2206,1351,1765,645,1946,842,537,1072,1764,908,940,804,744,751,99,1768,976,1942,1080,1762,980,719,1763,648,1176,
1377,269,202,480,299,602,737,208,1760,364,823,564,1001,135,88,1030,2056,2264,1756,1530,1203,1754,1439,849,1199,1758,1761,1866,2153,887,1540,1759,879,1460,2088,166,2243,420,1755,1161,1955,1943,1757,898,877,1884,652,1463,
2187,2021,1401,2246,1977,1971,1897,2045,40,987,1512,891,861,1537,2234,1285,98,664,2,1974,178,17,782,2213,516,16,353,142,412,632,284,657,1496,927,604,2204,830,1487,46,767,139,35,24,1266,677,3,957,418,
1918,150,290,282,392,198,724,247,1835,181,799,1250,195,1070,168,809,1538,1501,1836,1396,1985,2106,1384,1481,1218,1839,1838,1840,2194,1120,2049,1145,428,355,1259,585,2148,369,1837,1461,2038,1841,1834,1339,1437,1321,263,2025,
85,1939,1527,2017,2273,1999,2301,2132,47,2019,1111,1981,1213,779,1392,1232,583,217,34,279,578,12,1046,2043,2015,11,122,563,511,993,699,5,762,761,792,1344,1018,2012,49,1287,193,8,6,565,2066,115,1395,375,
1032,317,154,2172,275,244,453,356,1634,781,500,2120,218,333,507,793,860,1114,1635,1027,951,1636,840,984,905,1639,1640,1417,1890,2170,1349,1426,2225,2242,967,2272,2136,209,1638,1289,1365,885,1637,1095,376,1641,442,1127,
2083,1531,2054,1325,2020,1258,1335,2258,55,1465,2236,2193,2293,2229,1039,1506,288,215,50,702,1194,1175,952,928,685,18,22,21,521,1209,1048,297,1066,875,997,1490,1107,1525,42,397,770,466,54,1198,914,56,2037,597,
1288,522,600,603,769,213,2149,409,1695,946,2130,109,394,367,954,1102,1503,1393,1924,1887,1219,1697,167,1419,1241,1692,1694,2005,1302,2078,1909,2003,2218,1382,158,1047,1026,343,1696,948,1876,1691,1693,1172,772,1690,144,2029,
641,250,2142,448,226,2223,550,2255,1585,651,497,186,2133,667,570,116,1085,1313,1588,1255,1886,1318,2099,1920,1353,1589,1297,1355,983,923,924,1592,962,360,820,359,304,2010,1586,695,1242,1587,1590,1237,2208,1591,225,1916,
1263,2240,2270,201,67,403,2008,140,1607,486,100,708,2040,2188,572,555,1181,1518,1608,715,1093,1065,68,971,1133,1602,1605,1327,878,1128,1330,1604,2233,935,716,1979,2169,228,1601,197,1230,1606,1603,1888,588,1013,175,1163,
805,276,268,419,137,2095,113,291,1619,2160,476,571,477,111,599,644,2284,1282,1621,2173,1966,1399,892,633,774,1620,1617,1986,1314,934,1135,1624,2269,925,658,281,903,190,1618,1188,1202,1872,1622,1991,874,1623,417,1976,
1140,549,475,121,525,163,439,432,1780,66,740,523,255,212,919,1204,1100,1515,1882,2104,2013,1784,944,1223,2289,1781,1779,1782,1360,1040,2067,1479,615,743,232,1151,2069,214,1783,1477,1336,1468,1785,1142,2292,1778,112,1954,
1969,280,365,124,320,622,589,561,1821,76,342,123,422,207,775,750,2159,1440,1825,1068,2009,1819,759,1334,1874,1822,1818,1505,1964,975,1397,2109,2164,1220,176,869,973,406,1823,909,791,1824,1820,295,1328,2244,174,1873,
1996,361,797,593,249,534,786,496,1832,853,169,457,152,901,2191,314,1910,1984,1830,1470,963,1829,1320,945,1238,1826,1827,2090,1449,943,1980,872,1265,2268,1342,1251,368,107,1833,1092,1466,1831,1828,1455,1156,1315,851,2113,
1177,404,528,424,1967,2155,380,65,1556,463,592,2135,790,748,2176,635,1159,1361,1486,854,1936,1558,1010,2232,1904,1557,1554,1520,1877,1271,1105,1553,229,998,2249,917,469,2129,1559,1394,1495,964,1560,913,726,1555,110,753,
2141,357,536,81,300,434,391,345,1667,2098,96,2146,661,627,634,789,1262,941,1359,1148,662,1671,1978,1054,1291,1673,1532,1668,1900,999,1109,1669,2093,972,654,2304,548,441,1666,2297,1217,1670,1672,1180,1055,921,173,1870,
489,616,461,595,712,246,210,82,1815,283,902,1091,705,1144,2162,157,1296,1311,2048,1373,2084,1817,2061,1195,1983,1816,1814,1810,1304,2121,2137,1812,911,1178,965,384,746,618,1813,754,1533,1961,1811,1157,958,1875,378,1492,
1166,605,680,301,313,508,701,733,1681,704,219,822,352,806,2082,2116,1539,1903,1041,1371,1043,1680,1261,1412,1878,1675,1678,912,1446,1294,1064,1679,765,2282,2209,493,2235,665,1676,1301,1136,1137,1677,298,2278,1674,459,1036,
929,2184,349,332,2042,89,129,2079,1584,2002,512,321,2288,267,454,271,1077,1061,1269,1508,833,1510,639,884,340,1580,1581,1168,1931,1898,1376,1582,663,1014,560,689,338,2163,1583,899,1011,1578,1579,1928,402,1577,2252,1333,
243,2216,1989,2140,2203,1229,1169,2123,45,1293,1367,966,2086,933,1115,2006,723,471,32,399,2179,33,371,610,544,29,101,183,131,2197,248,601,807,831,1170,742,1467,1273,53,514,319,27,52,629,2027,26,2030,722,
829,2060,2222,1226,1268,1404,1245,2254,43,1929,2114,1362,1126,1937,1035,2275,623,118,801,472,681,41,876,1049,1009,7,44,698,120,2139,697,15,1295,766,888,1087,1090,2230,4,531,344,39,37,728,838,90,2171,1125,
1208,83,815,821,710,768,245,825,1776,460,907,584,802,989,543,730,1995,1422,2150,2071,1923,1771,1352,939,1491,1772,1775,2080,2165,1338,1514,1024,660,1309,1002,286,1162,2227,1770,1277,1022,1777,1773,2180,577,1774,69,1425,
1387,324,643,855,492,119,433,80,1795,1007,2265,931,1078,133,580,900,1982,1385,1801,2064,890,1797,836,1363,1042,1800,1796,1451,1415,2070,1407,1938,518,1383,2096,1154,2201,771,1798,1062,1129,2077,1799,374,153,1794,328,1438,
1020,373,649,222,266,278,545,171,1843,474,336,437,136,679,205,1052,671,1494,1846,2245,819,1845,1378,2126,237,1848,1842,2127,959,1357,1165,1990,906,1448,1044,682,668,272,1849,2063,2036,1844,1847,647,866,2031,427,2055,
1017,1933,1960,1493,1507,1445,2081,2174,58,2224,2219,2032,1932,1482,1179,1015,94,316,59,393,1083,62,1098,818,1270,64,199,918,828,850,75,146,1947,688,922,1889,1031,1922,60,1003,949,57,63,2274,1329,61,1484,1253,
