# 48x48.Tetramagic Square.
# Generated by Toshihiro Shirakawa in 2026.01.24
# S1=70278
# S2=126664382
# S3=256827858768
# S4=555467267610554

0,1809,918,1888,1166,668,2129,547,1473,1858,265,1410,1922,84,737,584,1512,1042,1310,2100,139,300,1072,1600,703,1231,2003,2164,203,993,1261,791,1719,1566,2219,381,893,2038,445,830,1756,174,1635,1137,415,1385,494,2303,
656,1910,2065,790,515,26,704,914,1720,1125,908,1983,250,1017,552,344,755,965,146,1462,79,471,1219,2185,118,1084,1832,2224,841,2157,1338,1548,1959,1751,1286,2053,320,1395,1178,583,1389,1599,2277,1788,1513,238,393,1647,
1550,2026,1077,643,1156,1924,1363,217,693,2007,1040,1815,2145,1890,1305,474,772,604,1772,879,2253,134,843,2273,30,1460,2169,50,1424,531,1699,1531,1829,998,413,158,488,1263,296,1610,2086,940,379,1147,1660,1226,277,753,
1394,2188,1538,1343,2107,182,1451,1031,2059,1390,1939,1706,641,567,503,418,1102,2012,1604,91,1533,1169,462,21,2282,1841,1134,770,2212,699,291,1201,1885,1800,1736,1662,597,364,913,244,1272,852,2121,196,960,765,115,909,
2228,179,239,1328,1902,718,368,113,1149,532,921,1722,433,1441,2041,1405,5,514,1025,771,1245,665,324,1570,733,1979,1638,1058,1532,1278,1789,2298,898,262,862,1870,581,1382,1771,1154,2190,1935,1585,401,975,2064,2124,75,
2017,1045,2193,2096,935,1872,1684,804,436,351,162,1341,548,1184,891,2248,859,1991,1611,43,1677,1075,1794,726,1577,509,1228,626,2260,692,312,1444,55,1412,1119,1755,962,2141,1952,1867,1499,619,431,1368,207,110,1258,286,
1799,2005,2158,235,873,538,1602,93,1824,1101,109,1250,1674,405,2283,757,613,367,777,996,2046,819,1350,1115,1188,953,1484,257,1307,1526,1936,1690,1546,20,1898,629,1053,2194,1202,479,2210,701,1765,1430,2068,145,298,504,
354,249,490,2207,1327,1210,919,644,2263,592,1197,782,851,1886,900,186,457,1013,758,1601,1729,218,306,2237,66,1997,2085,574,702,1545,1290,1846,2117,1403,417,1452,1521,1106,1711,40,1659,1384,1093,976,96,1813,2054,1949,
673,647,1838,144,1471,610,57,2067,1089,1248,543,1905,1553,1923,1189,285,2257,982,2203,1998,1426,950,794,489,1814,1509,1353,877,305,100,1321,46,2018,1114,380,750,398,1760,1055,1214,236,2246,1693,832,2159,465,1656,1630,
2027,1344,1232,450,1675,198,615,1786,696,2295,1485,1279,2209,2191,2127,1160,1955,1431,400,1758,325,1299,1564,810,1493,739,1004,1978,545,1903,872,348,1143,176,112,94,1024,818,8,1607,517,1688,2105,628,1853,1071,959,276,
155,1235,1294,1131,111,1457,318,889,1835,44,1615,402,1519,2241,1537,1377,524,2097,1298,280,1696,541,341,632,1671,1962,1762,607,2023,1005,206,1779,926,766,62,784,1901,688,2259,468,1414,1985,846,2192,1172,1009,1068,2148,
802,878,1821,1691,2089,1223,34,738,1183,1828,103,161,633,1613,399,1950,1322,1984,2235,1351,1463,1032,1745,284,2019,558,1271,840,952,68,319,981,353,1904,690,1670,2142,2200,475,1120,1565,2269,1080,214,612,482,1425,1501,
2090,1432,369,77,1817,321,817,2165,1654,605,1730,1296,392,957,2302,1511,1056,444,1048,1135,759,2116,248,1624,679,2055,187,1544,1168,1255,1859,1247,792,1,1346,1911,1007,573,1698,649,138,1486,1982,486,2226,1934,871,213,
1364,329,1461,1230,1791,970,1852,1580,49,1140,2274,2112,812,886,137,391,194,691,1741,648,603,260,1957,1046,1257,346,2043,1700,1655,562,1612,2109,1912,2166,1417,1491,191,29,1163,2254,723,451,1333,512,1073,842,1974,939,
829,1008,1083,697,185,1494,1776,1705,116,1573,1988,2299,2058,461,355,1175,1653,92,876,1770,1000,1906,1349,219,2084,954,397,1303,533,1427,2211,650,1128,1948,1842,245,4,315,730,2187,598,527,809,2118,1606,1220,1295,1474,
990,1616,132,1831,506,156,2050,1262,1583,1945,304,623,18,1887,631,1774,2236,1152,237,1229,1429,834,813,1347,956,1490,1469,874,1074,2066,1151,67,529,1672,416,2285,1680,1999,358,720,1041,253,2147,1797,472,2171,687,1313,
627,157,1442,1489,2247,1605,1240,1804,141,199,473,1947,611,1330,563,1383,1124,33,1014,317,386,1402,1576,2031,272,727,901,1917,1986,1289,2270,1179,920,1740,973,1692,356,1830,2104,2162,499,1063,698,56,814,861,2146,1676,
500,102,259,27,980,1695,1207,1926,838,1044,1136,1896,1650,2154,1748,875,1503,295,682,88,1844,958,233,1579,724,2070,1345,459,2215,1621,2008,800,1428,555,149,653,407,1167,1259,1465,377,1096,608,1323,2276,2044,2201,1803,
2173,1335,1535,205,80,1541,949,828,2120,1849,288,1891,1254,1118,1721,1920,882,12,246,1588,1780,1644,1066,534,1769,1237,659,523,715,2057,2291,1421,383,582,1185,1049,412,2015,454,183,1475,1354,762,2223,2098,768,968,130,
396,1422,588,1459,654,719,988,2242,1112,2168,1361,1057,1518,467,197,1267,362,2264,173,1735,729,2006,2062,520,1783,241,297,1574,568,2130,39,1941,1036,2106,1836,785,1246,942,135,1191,61,1315,1584,1649,844,1715,881,1907,
833,1113,2042,2009,639,1857,924,136,1563,984,1933,572,1211,148,1591,1411,37,799,1276,2243,1811,1878,2091,1707,596,212,425,492,60,1027,1504,2266,892,712,2155,1092,1731,370,1319,740,2167,1379,446,1664,294,261,1190,1470,
1176,169,17,932,1767,1064,1964,2075,1869,1970,1581,1716,808,1016,1595,1801,2022,850,899,961,71,658,1873,106,2197,430,1645,2232,1342,1404,1453,281,502,708,1287,1495,587,722,333,434,228,339,1239,536,1371,2286,2134,1127,
