# 44x44.Trimagic Square
# Generated by Toshihiro Shirakawa in 2026.03.03
# S1=42570
# S2=54929490
# S3=79737015600

12,1932,868,1063,1333,1160,721,1221,131,761,1729,1849,459,710,509,1429,1894,699,1786,454,981,1011,924,954,1481,149,1236,41,506,1426,1225,1476,86,206,1174,1804,714,1214,775,602,872,1067,3,1923,
931,47,985,1922,54,899,984,1318,1915,996,912,1834,949,1916,830,36,1054,1077,1498,1047,1471,581,1354,464,888,437,858,881,1899,1105,19,986,101,1023,939,20,617,951,1036,1881,13,950,1888,1004,
1822,356,72,1179,771,1306,1741,647,1111,1607,1207,1093,579,845,1857,1470,1624,541,1625,1795,1202,213,1722,733,140,310,1394,311,465,78,1090,1356,842,728,328,824,1288,194,629,1164,756,1863,1579,113,
903,654,1724,172,17,391,1240,1360,1891,1546,434,387,1461,1367,1347,382,849,338,1100,1234,545,1818,117,1390,701,835,1597,1086,1553,588,568,474,1548,1501,389,44,575,695,1544,1918,1763,211,1281,1032,
1723,640,353,1215,193,1351,214,271,773,1636,1287,1138,247,1112,259,1344,1267,1409,367,185,702,1877,58,1233,1750,1568,526,668,591,1676,823,1688,797,648,299,1162,1664,1721,584,1742,720,1582,1295,212,
1024,10,873,1208,948,215,715,742,94,1165,1773,126,1286,1099,1027,997,1832,729,51,504,1883,494,1441,52,1431,1884,1206,103,938,908,836,649,1809,162,770,1841,1193,1220,1720,987,727,1062,1925,911,
1322,1353,1422,519,443,1791,275,1697,1662,1338,1647,659,1748,1762,910,750,482,335,498,293,1525,600,1335,410,1642,1437,1600,1453,1185,1025,173,187,1276,288,597,273,238,1660,144,1492,1416,513,582,613,
108,876,166,767,495,1256,1835,469,913,85,1132,1072,555,857,48,148,1150,1339,283,1810,810,1458,477,1125,125,1652,596,785,1787,1887,1078,1380,863,803,1850,1022,1466,100,679,1440,1168,1769,1059,1827,
846,1038,1029,999,240,862,1144,1007,478,946,40,376,921,1868,1396,1598,22,904,1914,399,1845,231,1704,90,1536,21,1031,1913,337,539,67,1014,1559,1895,989,1457,928,791,1073,1695,936,906,897,1089,
707,1669,324,186,1842,372,639,500,317,481,407,1539,402,1483,828,683,1163,1737,769,1343,1617,179,1756,318,592,1166,198,772,1252,1107,452,1533,396,1528,1454,1618,1435,1296,1563,93,1749,1611,266,1228,
1596,1903,1864,27,812,1436,1042,643,625,637,502,1796,566,1265,1711,406,1270,1482,1121,853,24,800,1135,1911,1082,814,453,665,1529,224,670,1369,139,1433,1298,1310,1292,893,499,1123,1908,71,32,339,
1852,109,840,794,528,1145,106,82,1494,725,879,520,1301,1172,1439,6,1927,666,1675,1156,895,570,1365,1040,779,260,1269,8,1929,496,763,634,1415,1056,1210,441,1853,1829,790,1407,1141,1095,1826,83,
18,1820,1068,869,663,1117,2,1839,154,739,1055,1753,635,925,1006,370,1630,1238,180,1143,1002,1633,302,933,792,1755,697,305,1565,929,1010,1300,182,880,1196,1781,96,1933,818,1272,1066,867,115,1917,
930,222,1015,135,81,1515,730,1345,200,593,447,1602,1448,645,1657,323,1065,1816,1045,774,1382,95,1840,553,1161,890,119,870,1612,278,1290,487,333,1488,1342,1735,590,1205,420,1854,1800,920,1713,1005,
811,1001,896,1064,919,7,1249,1057,1,941,1752,59,1108,1766,748,713,30,1140,74,813,1874,1315,620,61,1122,1861,795,1905,1222,1187,169,827,1876,183,994,1934,878,686,1928,1016,871,1039,934,1124,
674,1561,176,253,1708,1622,1389,416,532,559,348,1464,1640,349,1048,752,718,123,1224,1405,1731,1557,378,204,530,711,1812,1217,1183,887,1586,295,471,1587,1376,1403,1519,546,313,227,1682,1759,374,1261,
708,1534,1363,196,1860,1547,1282,1402,1685,431,1516,423,1517,483,1610,607,777,1656,1134,1264,1693,143,1792,242,671,801,279,1158,1328,325,1452,418,1512,419,1504,250,533,653,388,75,1739,572,401,1227,
838,1180,905,1009,322,834,594,1051,1823,883,1862,167,914,1801,1418,1777,1760,856,1907,1890,1194,719,1216,741,45,28,1079,175,158,517,134,1021,1768,73,1052,112,884,1341,1101,1613,926,1030,755,1097,
1592,551,1732,1882,1188,473,764,1323,1350,1358,1469,1653,516,0,195,1583,445,1531,1033,829,145,958,977,1790,1106,902,404,1490,352,1740,1935,1419,282,466,577,585,612,1171,1462,747,53,203,1384,343,
995,362,658,1788,1924,886,1186,956,1450,1761,451,60,927,967,1807,1537,957,46,955,1119,942,14,1921,993,816,980,1889,978,398,128,968,1008,1875,1484,174,485,979,749,1049,11,147,1277,1573,940,
1571,1375,1340,959,1372,39,66,170,556,722,236,622,80,1757,717,1175,511,217,534,1487,1280,973,962,655,448,1401,1718,1424,760,1218,178,1855,1313,1699,1213,1379,1765,1869,1896,563,976,595,560,364,
1244,660,1527,1705,1825,1577,554,484,1670,493,1567,1511,377,432,518,394,759,151,1169,583,344,1678,257,1591,1352,766,1784,1176,1541,1417,1503,1558,424,368,1442,265,1451,1381,358,110,230,408,1275,691,
330,160,1425,1147,1159,1212,130,675,944,1747,1115,1050,1432,1037,371,1871,1717,1327,249,43,1103,207,1728,832,1892,1686,608,218,64,1564,898,503,885,820,188,991,1260,1805,723,776,788,510,1775,1605,
359,1837,26,1836,724,442,738,1337,1274,703,1472,361,512,1672,105,1540,780,380,992,825,192,843,1092,1743,1110,943,1555,1155,395,1830,263,1423,1574,463,1232,661,598,1197,1493,1211,99,1909,98,1576,
1496,35,383,789,1438,731,1885,1594,983,1856,850,988,440,937,621,221,1632,1299,301,5,859,1346,589,1076,1930,1634,636,303,1714,1314,998,1495,947,1085,79,952,341,50,1204,497,1146,1552,1900,439,
208,1785,244,705,1154,549,1689,1780,1203,1712,542,1151,220,1182,1242,1507,544,505,414,1606,690,153,1782,1245,329,1521,1430,1391,428,693,753,1715,784,1393,223,732,155,246,1386,781,1230,1691,150,1727,
